Input Size	Execution Time
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0020000001
10	0.0010000000
10	0.0020000001
10	0.0020000001
10	0.0020000001
10	0.0020000001
10	0.0010000000
10	0.0020000001
10	0.0020000001
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0170000009
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0170000009
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0010000000
10	0.0170000009
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0160000008
10	0.0000000000
10	0.0170000009
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0010000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0000000000
10	0.0010000000
10	0.0000000000
10	0.0010000000
10	0.0189999994
10	0.0010000000
10	0.0000000000
10	0.0000000000
100	0.0089999996
100	0.0260000005
100	0.0270000007
100	0.0099999998
100	0.0270000007
100	0.0099999998
100	0.0089999996
100	0.0089999996
100	0.0260000005
100	0.0089999996
100	0.0089999996
100	0.0089999996
100	0.0089999996
100	0.0089999996
100	0.0099999998
